Site Key,Pre Install File,Post Install File,Software Version,Sat,Tran,Freq,Polar,SigType,CodRate,Pre Install Signal Margin,Post Install Signal Margin,Pre Install C/N,Post Install C/N,Pre Install Es/No,Post Install Es/No,Pre Install Eb/No,Post Install Eb/No,Pre Install Lock,Post Install Lock,DnLink,Pre Install FreqErr,Post Install FreqErr,Baud,Pre Limit,Pre Limit Color Code,Pre Limit Margin,Post Limit,Post Limit Color Code,Post Limit Margin,Delta C/N Pre & Post,LNB Model,LNB Service,LNB System,Pre LnbI,Pre LnbV,Post LnbI,Post LnbV,Region,Pre Install Date,Post Install Date,Pre Install Time,Post Install Time,Limit Table
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 13,1190.0,Vertical,DVB-S2,.,.,.,.,.,.,.,.,.,0,.,3960.0,0.0,.,30000,.,.,.,.,.,.,.,AR Filter,Other Providers,SES,245,17.7,.,.,NE Continent US,02/16/2021,.,15:22:44,.,.
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 15,1150.0,Vertical,DVB-S2,.,.,.,.,.,.,.,.,.,0,.,4000.0,0.0,.,30000,.,.,.,.,.,.,.,AR Filter,Other Providers,SES,245,17.7,.,.,NE Continent US,02/16/2021,.,15:22:44,.,.
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 17,1120.492,Vertical,DVB-S QPSK,R3/4,2.6,.,8.2,.,9.5,.,8.1,.,1,.,4029.51,0.47,.,9260,Pass,Yellow,0.4,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,15:22:44,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 19,1070.0,Vertical,DVB-S2 8PSK,R5/6,2.2,.,10.8,.,11.6,.,7.8,.,1,.,4080.0,-0.02,.,30000,.,.,0.0,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,15:22:44,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 21,1040.5,Vertical,DVB-S QPSK,R3/4,2.8,.,8.4,.,9.7,.,8.3,.,1,.,4109.5,-0.04,.,7136,Pass,Green,0.6,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,15:22:44,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 13,1190.0,Vertical,DVB-S2 8PSK,R5/6,3.7,.,12.3,.,13.1,.,9.2,.,1,.,3960.0,-0.01,.,30000,Pass,Green,2.0,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,14:59:51,.,ModCod
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 15,1150.0,Vertical,DVB-S2 8PSK,R5/6,3.0,.,11.6,.,12.4,.,8.6,.,1,.,4000.0,-0.01,.,30000,Pass,Green,0.8,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,14:59:51,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 17,1120.492,Vertical,DVB-S QPSK,R3/4,4.1,.,9.7,.,11.0,.,9.6,.,1,.,4029.51,0.47,.,9260,Pass,Green,1.9,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,14:59:51,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 19,1070.0,Vertical,DVB-S2 8PSK,R5/6,2.4,.,11.0,.,11.8,.,8.0,.,1,.,4080.0,-0.01,.,30000,Pass,Yellow,0.2,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,14:59:51,.,SLF
306164,SES11-V-PRE-306164.spop,., 1.66,SES11,Tr 21,1040.5,Vertical,DVB-S QPSK,R3/4,3.2,.,8.8,.,10.1,.,8.7,.,1,.,4109.5,-0.03,.,7136,Pass,Green,1.0,.,.,.,.,AR Filter,Other Providers,SES,245,17.5,.,.,NE Continent US,02/16/2021,.,14:59:51,.,SLF
328128,SES11-V-PRE-328128.spop,., 1.66,SES11,Tr 15,1150.0,Vertical,DVB-S2 8PSK,R5/6,5.0,.,13.6,.,14.4,.,10.6,.,1,.,4000.0,-0.04,.,30000,Pass,Green,3.3,.,.,.,.,AR Filter,Other Providers,SES,205,17.5,.,.,SE Continent US,02/10/2021,.,12:17:42,.,SLF
328128,SES11-V-PRE-328128.spop,SES11-V-POST-328128.spop, 1.66,SES11,Tr 17,1120.492,Vertical,DVB-S QPSK,R3/4,5.3,5.2,10.9,10.8,12.2,12.1,10.8,10.7,1,1,4029.51,0.45,0.45,9260,Pass,Green,3.1,Pass,Green,3.7,-0.1,AR Filter,Other Providers,SES,205,17.5,210,17.7,SE Continent US,02/10/2021,02/10/2021,12:17:42,13:09:23,SLF
328128,SES11-V-PRE-328128.spop,SES11-V-POST-328128.spop, 1.66,SES11,Tr 19,1070.0,Vertical,DVB-S2 8PSK,R5/6,4.3,4.5,12.9,13.1,13.7,13.9,9.9,10.1,1,1,4080.0,-0.03,-0.03,30000,Pass,Green,2.1,Pass,Green,3.0,0.2,AR Filter,Other Providers,SES,205,17.5,205,17.5,SE Continent US,02/10/2021,02/10/2021,12:17:42,13:09:23,SLF
328128,SES11-V-PRE-328128.spop,SES11-V-POST-328128.spop, 1.66,SES11,Tr 21,1040.5,Vertical,DVB-S QPSK,R3/4,7.1,7.3,12.7,12.9,14.0,14.2,12.6,12.8,1,1,4109.5,-0.06,-0.06,7136,Pass,Green,4.9,Pass,Green,5.8,0.2,AR Filter,Other Providers,SES,205,17.5,205,17.7,SE Continent US,02/10/2021,02/10/2021,12:17:42,13:09:23,SLF
