Site Key,Pre Install File,Post Install File,Software Version,Sat,Tran,Freq,Polar,SigType,CodRate,Pre Install Signal Margin,Post Install Signal Margin,Pre Install C/N,Post Install C/N,Pre Install Es/No,Post Install Es/No,Pre Install Eb/No,Post Install Eb/No,Pre Install Lock,Post Install Lock,DnLink,Pre Install FreqErr,Post Install FreqErr,Baud,Pre Limit,Pre Limit Color Code,Pre Limit Margin,Post Limit,Post Limit Color Code,Post Limit Margin,Delta C/N Pre & Post,LNB Model,LNB Service,LNB System,Pre LnbI,Pre LnbV,Post LnbI,Post LnbV,Region,Pre Install Date,Post Install Date,Pre Install Time,Post Install Time,Limit Table
100010,G18-H-PRE-100010.spop,., 1.65,G18,Tr 16,1129.9360000000001,Horizontal,DVB-S2 8PSK,R5/6,7.0,.,15.1,.,16.4,.,13.1,.,1,.,4020.06,-0.01,.,30000,Pass,Green,3.5,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,17:10:40,.,ModCod
100010,G18-H-PRE-100010.spop,., 1.65,G18,Tr 22,1009.956,Horizontal,DVB-S2 8PSK,R5/6,5.5,.,13.6,.,14.9,.,11.6,.,1,.,4140.04,-0.02,.,30000,Pass,Green,2.0,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,17:10:40,.,ModCod
100010,G15-V-PRE-100010.spop,., 1.65,G15,Tr 2,1410.0520000000001,Vertical,DVB-S2 8PSK,R3/4,8.5,.,15.1,.,16.4,.,13.5,.,1,.,3739.95,-0.12,.,31250,Pass,Green,5.0,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,15:43:30,.,ModCod
100010,G15-V-PRE-100010.spop,., 1.65,G15,Tr 4,1369.9479999999999,Vertical,DVB-S2 8PSK,R3/4,7.1,.,13.7,.,15.0,.,12.1,.,1,.,3780.05,-0.01,.,31250,Pass,Green,3.6,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,15:43:30,.,ModCod
100010,G15-V-PRE-100010.spop,., 1.65,G15,Tr 10,1249.9360000000001,Vertical,DVB-S2 8PSK,R3/4,9.5,.,16.1,.,17.4,.,14.5,.,1,.,3900.06,0.01,.,31250,Pass,Green,6.0,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,15:43:30,.,ModCod
100010,G15-V-PRE-100010.spop,., 1.65,G15,Tr 16,1130.016,Vertical,DVB-S QPSK,R3/4,10.1,.,15.7,.,17.0,.,15.8,.,1,.,4019.98,-0.08,.,29270,Pass,Green,6.6,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,15:43:30,.,ModCod
100010,SES11-V-PRE-100010.spop,., 1.65,SES11,Tr A8A1,1442.476,Vertical,DVB-S QPSK,.,.,.,.,.,.,.,.,.,0,.,3707.52,0.0,.,3334,.,.,.,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,14:29:17,.,.
100010,SES11-V-PRE-100010.spop,., 1.65,SES11,Tr 5,1350.056,Vertical,DVB-S2,.,.,.,.,.,.,.,.,.,0,.,3799.94,0.0,.,30000,.,.,.,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,14:29:17,.,.
100010,SES11-V-PRE-100010.spop,., 1.65,SES11,Tr 7,1310.0,Vertical,DVB-S2,.,.,.,.,.,.,.,.,.,0,.,3840.0,0.0,.,30000,.,.,.,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,14:29:17,.,.
100010,SES11-V-PRE-100010.spop,., 1.65,SES11,Tr 9,1270.0,Vertical,DVB-S2 8PSK,R8/9,7.6,.,16.7,.,18.0,.,14.4,.,1,.,3880.0,-0.07,.,30000,Pass,Green,4.1,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,14:29:17,.,ModCod
100010,SES11-V-PRE-100010.spop,., 1.65,SES11,Tr 11,1230.0,Vertical,DVB-S2,.,.,.,.,.,.,.,.,.,0,.,3920.0,0.0,.,30000,.,.,.,.,.,.,.,C-Band No Filte,Other Providers,SES,Under,0.0,.,.,SE Continent US,12/16/2020,.,14:29:17,.,.
